id,Title,Categories,"Country name","City name","State abbreviation",sources_source_link
10639,Arab,"North America>United States of America>Alabama",,Arab,,
6438,"Is Albany Tap Water Safe to Drink?","North America>United States of America>New York",,Albany,NY,
6439,"Is Albany Tap Water Safe to Drink?","North America>United States of America>Oregon",,Albany,OR,
6440,"Is Albuquerque Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Albuquerque,NM,
6441,"Is Alexandria Tap Water Safe to Drink?","North America>United States of America>Louisiana",,Alexandria,LA,
6442,"Is Alexandria Tap Water Safe to Drink?","North America>United States of America>Virginia",,Alexandria,VA,
6458,"Is Annapolis Tap Water Safe to Drink?","North America>United States of America>Maryland",,Annapolis,MD,
6443,"Is Aliso Viejo Tap Water Safe to Drink?","North America>United States of America>California",,"Aliso Viejo",CA,
6459,"Is Antioch Tap Water Safe to Drink?","North America>United States of America>California",,Antioch,CA,
6444,"Is Allen Tap Water Safe to Drink?","North America>United States of America>Texas",,Allen,TX,
6460,"Is Apopka Tap Water Safe to Drink?","North America>United States of America>Florida",,Apopka,FL,
6445,"Is Allentown Tap Water Safe to Drink?","North America>United States of America>Pennsylvania",,Allentown,PA,
6461,"Is Apple Valley Tap Water Safe to Drink?","North America>United States of America>California",,"Apple Valley",CA,
6446,"Is Alpharetta Tap Water Safe to Drink?","North America>United States of America>Georgia",,Alpharetta,GA,
6432,"Is Aberdeen Tap Water Safe to Drink?","North America>United States of America>South Dakota",,Aberdeen,SD,
6433,"Is Abilene Tap Water Safe to Drink?","North America>United States of America>Texas",,Abilene,TX,
6434,"Is Acton Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Acton,MA,
6435,"Is Akron Tap Water Safe to Drink?","North America>United States of America>Ohio",,Akron,OH,
6436,"Is Alameda Tap Water Safe to Drink?","North America>United States of America>California",,Alameda,CA,
6437,"Is Alamogordo Tap Water Safe to Drink?","North America>United States of America>New Mexico",,Alamogordo,NM,
6454,"Is Anderson Tap Water Safe to Drink?","North America>United States of America>South Carolina",,Anderson,SC,
6455,"Is Andover Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Andover,MA,
6456,"Is Ankeny Tap Water Safe to Drink?","North America>United States of America>Iowa",,Ankeny,IA,
6457,"Is Ann Arbor Tap Water Safe to Drink?","North America>United States of America>Michigan",,"Ann Arbor",MI,
6462,"Is Appleton Tap Water Safe to Drink?","North America>United States of America>Wisconsin",,Appleton,WI,
6447,"Is Alton Tap Water Safe to Drink?","North America>United States of America>Illinois",,Alton,IL,
6463,"Is Arlington Tap Water Safe to Drink?","North America>United States of America>Texas",,Arlington,TX,
6448,"Is Amarillo Tap Water Safe to Drink?","North America>United States of America>Texas",,Amarillo,TX,
6464,"Is Arlington Tap Water Safe to Drink?","North America>United States of America>Virginia",,Arlington,VA,
6449,"Is Ames Tap Water Safe to Drink?","North America>United States of America>Iowa",,Ames,IA,
6465,"Is Ashburn Tap Water Safe to Drink?","North America>United States of America>Virginia",,Ashburn,VA,
6450,"Is Amherst Tap Water Safe to Drink?","North America>United States of America>Massachusetts",,Amherst,MA,
6466,"Is Asheville Tap Water Safe to Drink?","North America>United States of America>North Carolina",,Asheville,NC,
